name,amenity,address,city,state,postcode,phone,website,lat,lon,osm_type,osm_id
Recessions,bar,1823 L Street Northwest,North West,DC,20036,+1 202-296-6686,https://www.recessionsdc.com/,38.903892,-77.042733,node,739528133
Club Mari's / Mogura,bar,1825 Webster Street,,,,+1 415 6735636,,37.785114,-122.432186,node,1616322287
Homer's Neighborhood Bar,bar,1779 Wells Branch Parkway,Austin,TX,78728,+1-512-251-5554,https://homersneighborhoodbar.com/,30.435597,-97.673859,node,1809241015
Shanghai Room,bar,8580 Greenwood Avenue North,Seattle,WA,98103,,https://www.theshanghairoom.com/,47.692204,-122.355109,node,2128637225
Hula Hula,bar,1501 East Olive Way,Seattle,WA,98122,+1-206-284-5003,http://hulahula.org/,47.61792,-122.325942,node,2158768499
VIP Karaoke,karaoke,964 Maple Road,Buffalo,NY,14221,,,42.991599,-78.751249,node,2355580846
Baranof,restaurant,8549 Greenwood Avenue North,Seattle,,98103,,,47.691803,-122.355569,node,2420103644
Goemon Izakaya,bar,3129 Clement Street,San Francisco,,94121,,,37.781523,-122.492956,node,2655525665
Encore Karaoke and Sushi Lounge,restaurant,,,,,,https://encorekaraokemn.com/,44.962583,-93.241745,node,2694844837
Sid Gold's Request Room,bar,1262 5th Street Northeast,,,20002,+1 929-260-1070,https://sidgolds.com/washington-dc/,38.907929,-76.998829,node,3007954896
Ginza,restaurant,9616 Reisterstown Road,Owings Mills,MD,21117,,,39.403639,-76.762142,node,3025085099
7 Bamboo,bar,162 Jackson Street,San Jose,CA,95112,,https://7bamboolounge.com/,37.348474,-121.895006,node,3567735105
Professional Karaoke,bar,,,,,,,37.298134,-121.839335,node,3678527436
High Note Karaoke Lounge,bar,645 North James Lovell Street,Milwaukee,,53233,+1 414 226 5852,,43.03852,-87.92051,node,4000853797
Konet,karaoke,,,,,,,37.743182,-122.475375,node,4069447391
Mì Quảng Cô Thảo,restaurant,1560 North 4th Street,San Jose,CA,95112,+1-408-501-0011,,37.366258,-121.908273,node,4486027189
Muzette,bar,,,,,,,38.919803,-77.041513,node,4521338502
Cafe Nhớ,cafe,6757 Wilson Boulevard,,VA,22044,+1 703-237-1121,https://edencenter.com/stores/cafe-nho/,38.874375,-77.154224,node,4828125251
Hoa Viên Quán,restaurant,6757 Wilson Boulevard,Falls Church,VA,22044,,,38.874538,-77.154007,node,4828125264
Le Mirage,fast_food,Wilson Boulevard,Falls Church,VA,22044,,,38.87448,-77.153983,node,4828125265
Sweet Jane's,bar,64-02 68th Avenue,Glendale,NY,11385,+1-718-381-2031,,40.705619,-73.894287,node,5350120087
Chicago's Pub & Billiards,pub,1 Hespeler Road,,,,+1-519-621-2222,https://www.chicagopubcambridge.com/,43.374736,-80.317681,node,5481849024
Liquor Lounge Cafe,nightclub,1560 Collins Avenue,Miami Beach,FL,33139,+1 305-672-7171,,25.78904,-80.13048,node,5611595821
The Crescent,bar,1413 East Olive Way,Seattle,WA,98122,,,47.617466,-122.326305,node,5731573723
Walt's Inn,bar,3201 Odonnell Street,Baltimore,MD,21224-5039,+1 410-327-1495,http://www.waltsinn.com/,39.280227,-76.570967,node,6006101048
